TABLE_NAME,COLUMN_NAME,DATA_TYPE
AcademicDegrees,TenantId,int
AcademicDegrees,Id,int
AcademicDegrees,Major,nvarchar
AcademicDegrees,University,nvarchar
AcademicDegrees,Notes,nvarchar
AcademicDegrees,EmployeeId,int
AcademicDegrees,AcademicDegreeTypeId,int
AcademicDegrees,GradeId,int
AcademicDegrees,DegreeDate,datetime
AcademicDegreeTypes,TenantId,int
AcademicDegreeTypes,Id,int
AcademicDegreeTypes,ArabicName,nvarchar
AcademicDegreeTypes,EnglishName,nvarchar
Activities,TenantId,int
Activities,Id,int
Activities,Name,nvarchar
Activities,Code,nvarchar
Activities,ItemId,int
Activities,Effect,float
Activities,ItemEquationId,int
Activities,ValueActivityId,int
Activities,IsSingleRecord,bit
ActivityAlerts,TenantId,int
ActivityAlerts,Id,int
ActivityAlerts,ActivityId,int
ActivityAlerts,AlertTypes,int
Addresses,TenantId,int
Addresses,Id,int
Addresses,AddressText,nvarchar
Addresses,POBox,nvarchar
Addresses,ZipCode,nvarchar
Addresses,AddressType,nvarchar
Addresses,DistrictId,int
Addresses,EmployeeId,int
AppraisalGrades,TenantId,int
AppraisalGrades,Id,int
AppraisalGrades,From,float
AppraisalGrades,To,float
AppraisalGrades,Description,nvarchar
AppraisalGrades,ArabicName,nvarchar
AppraisalGrades,EnglishName,nvarchar
AppraisalSchedules,TenantId,int
AppraisalSchedules,Id,int
AppraisalSchedules,Period,int
AppraisalSchedules,Start,varchar
AppraisalSchedules,Duration,int
AppVersions,Id,int
AppVersions,ReleaseTitle,nvarchar
AppVersions,ReleaseDate,datetime
AppVersions,ReleaseArabic,nvarchar
AppVersions,ReleaseEnglish,nvarchar
AppVersions,ReleaseApp,int
AppVersions,TenantId,int
AspNetRoles,Id,nvarchar
AspNetRoles,Name,nvarchar
AspNetRoles,Description,nvarchar
AspNetRoles,Action,tinyint
AspNetRoles,Discriminator,nvarchar
AspNetUserClaims,Id,int
AspNetUserClaims,UserId,nvarchar
AspNetUserClaims,ClaimType,nvarchar
AspNetUserClaims,ClaimValue,nvarchar
AspNetUserLogins,UserId,nvarchar
AspNetUserLogins,LoginProvider,nvarchar
AspNetUserLogins,ProviderKey,nvarchar
AspNetUserRoles,UserId,nvarchar
AspNetUserRoles,RoleId,nvarchar
AspNetUsers,Id,nvarchar
AspNetUsers,UserName,nvarchar
AspNetUsers,PasswordHash,nvarchar
AspNetUsers,SecurityStamp,nvarchar
AspNetUsers,LegacyPasswordHash,nvarchar
AspNetUsers,LoweredUserName,nvarchar
AspNetUsers,MobileAlias,nvarchar
AspNetUsers,IsAnonymous,bit
AspNetUsers,LastActivityDate,datetime2
AspNetUsers,MobilePIN,nvarchar
AspNetUsers,Email,nvarchar
AspNetUsers,LoweredEmail,nvarchar
AspNetUsers,PasswordQuestion,nvarchar
AspNetUsers,PasswordAnswer,nvarchar
AspNetUsers,IsApproved,bit
AspNetUsers,IsLockedOut,bit
AspNetUsers,CreateDate,datetime2
AspNetUsers,LastLoginDate,datetime2
AspNetUsers,LastPasswordChangedDate,datetime2
AspNetUsers,LastLockoutDate,datetime2
AspNetUsers,FailedPasswordAttemptCount,int
AspNetUsers,FailedPasswordAttemptWindowStart,datetime2
AspNetUsers,FailedPasswordAnswerAttemptCount,int
AspNetUsers,FailedPasswordAnswerAttemptWindowStart,datetime2
AspNetUsers,Comment,ntext
AspNetUsers,EmailConfirmed,bit
AspNetUsers,PhoneNumber,nvarchar
AspNetUsers,PhoneNumberConfirmed,bit
AspNetUsers,TwoFactorEnabled,bit
AspNetUsers,LockoutEndDateUtc,datetime
AspNetUsers,LockoutEnabled,bit
AspNetUsers,AccessFailedCount,int
AspNetUsers,FirstLoginDate,datetime2
AspNetUsers,IsEnabled,bit
AspNetUsers,IsAdmin,bit
AspNetUsers,UserType,tinyint
BalanceSettlements,TenantId,int
BalanceSettlements,Id,int
BalanceSettlements,Action,tinyint
BalanceSettlements,Balance,float
BalanceSettlements,Date,date
BalanceSettlements,VacationBalanceId,int
BalanceSettlements,BalanceBefore,float
BalanceSettlements,TotalBalanceBefore,float
BalanceSettlements,LastDate,date
BalanceSettlements,EmployeeActivityId,int
Banks,TenantId,int
Banks,Id,int
Banks,ArabicName,nvarchar
Banks,EnglishName,nvarchar
BodyDetails,TenantId,int
BodyDetails,Id,int
BodyDetails,height,float
BodyDetails,weight,float
BodyDetails,ChestWidth,float
BodyDetails,HeightHarmonyId,int
BodyDetails,WeightHarmonyId,int
BodyDetails,SkinColorId,int
Branches,TenantId,int
Branches,Id,int
Branches,ArabicName,nvarchar
Branches,EnglishName,nvarchar
Branches,BankId,int
Branches,Adress,nvarchar
Branches,SwiftCode,nvarchar
CIBBanks,TenantId,int
CIBBanks,Id,int
CIBBanks,Narrative,nvarchar
CIBBanks,Currency,nvarchar
CIBBanks,CreditorBICCode,nvarchar
CIBBanks,AccountNumber,nvarchar
CIBBanks,AccountName,nvarchar
CitizensIdentifications,TenantId,int
CitizensIdentifications,Id,int
CitizensIdentifications,NationalId,nvarchar
CitizensIdentifications,EndDate,date
CitizensIdentifications,PassportNumber,nvarchar
CitizensIdentifications,PassportEndDate,date
CompanyInfo,TenantId,int
CompanyInfo,Id,int
CompanyInfo,Name,nvarchar
CompanyInfo,Commercialrecord,nvarchar
CompanyInfo,Taxcard,nvarchar
CompanyInfo,officailName,nvarchar
CompanyInfo,LogoPath,nvarchar
CompanyInfo,HasLogo,bit
CompanyInfo,InfoJson,nvarchar
CompanyInfo,EmployeesCount,int
CompanyLegalInfo,TenantId,int
CompanyLegalInfo,Id,int
CompanyLegalInfo,CompanyName,nvarchar
CompanyLegalInfo,CompanyInsuranceNumber,nvarchar
CompanyLegalInfo,CommercialRecordNumber,nvarchar
CompanyLegalInfo,CommercialRecordProcessNumber,nvarchar
CompanyLegalInfo,InsuranceOfficeName,nvarchar
CompanyLegalInfo,OwnerName,nvarchar
CompanyLegalInfo,CompanyLegalForm,nvarchar
CompanyLegalInfo,Governorate,nvarchar
CompanyLegalInfo,Department,nvarchar
CompanyLegalInfo,Village,nvarchar
CompanyLegalInfo,StreetName,nvarchar
CompanyLegalInfo,BuildingNumber,nvarchar
CompanyLegalInfo,SickPercent,int
CompanyLegalInfo,SickStartDate,datetime
CompanyLegalInfo,InjuryPercent,int
CompanyLegalInfo,InjuryStartDate,datetime
CompanyLegalInfo,StopDate,datetime
CompanyLegalInfo,StopReason,nvarchar
CompanyLegalInfo,ResumeDate,datetime
Contacts,TenantId,int
Contacts,Id,int
Contacts,Notes,nvarchar
Contacts,ContactText,nvarchar
Contacts,ContactTypeId,int
Contacts,EmployeeId,int
ContactTypes,TenantId,int
ContactTypes,Id,int
ContactTypes,ArabicName,nvarchar
ContactTypes,EnglishName,nvarchar
Contracts,TenantId,int
Contracts,Id,int
Contracts,StartDate,datetime
Contracts,EndDate,datetime
Contracts,EndReason,nvarchar
Contracts,CreateDate,datetime
Contracts,UserName,nvarchar
Contracts,EmployeeId,int
Contracts,Notes,nvarchar
Contracts,IsPending,bit
Contracts,AlertsHandled,bit
Contracts,SignOff,bit
Contracts,SettleDues,bit
Contracts,AssignItems,bit
Countries,TenantId,int
Countries,Id,int
Countries,ArabicName,nvarchar
Countries,EnglishName,nvarchar
Countries,ISOCode,nvarchar
CRMActivities,Id,int
CRMActivities,Action,nvarchar
CRMActivities,Date,date
CRMActivities,By,nvarchar
CRMActivities,Result,nvarchar
CRMActivities,CustomerId,int
CRMActivities,Done,bit
CRMBackups,TenantId,int
CRMBackups,BackUpDbEvery,smallint
CRMBackups,LastDbBackupDate,datetime
CRMBackups,BackupFilesEvery,smallint
CRMBackups,LastFilesBackupDate,datetime
CRMContacts,Id,int
CRMContacts,Name,nvarchar
CRMContacts,Role,nvarchar
CRMContacts,Email,nvarchar
CRMContacts,Phone,nvarchar
CRMContacts,Notes,nvarchar
CRMContacts,Blog,bit
CRMContacts,CustomerId,int
CRMCustomers,Id,int
CRMCustomers,CompanyName,nvarchar
CRMCustomers,Country,nvarchar
CRMCustomers,State,nvarchar
CRMCustomers,Address,nvarchar
CRMCustomers,CreatedDate,datetime
CRMCustomers,Email,nvarchar
CRMCustomers,Mobile,nvarchar
CRMCustomers,CompanyField,nvarchar
CRMCustomers,Admin,nvarchar
CRMCustomers,RegistrationReasonId,int
CRMCustomers,OtherRegistrationReason,nvarchar
CRMCustomers,KnowUsFrom,int
CRMCustomers,Tag,nvarchar
CRMCustomers,Name,nvarchar
CRMCustomers,Paying,bit
CRMCustomers,TenantName,nvarchar
CRMCustomers,TenantId,int
CRMCustomers,ExpirationDate,datetime
CRMCustomers,UsersNumber,int
CRMCustomers,Status,int
CRMCustomers,SalesMan,nvarchar
CRMCustomers,Channels,int
CRMCustomers,Password,nvarchar
CRMCustomers,JobTitle,tinyint
CRMCustomers,ModulePriority,nvarchar
CRMCustomers,DecisionMaking,bit
CRMCustomers,EgyptionCompany,bit
CRMPayments,Id,int
CRMPayments,CustomerId,int
CRMPayments,Date,datetime
CRMPayments,Duration,int
CRMPayments,Currency,int
CRMPayments,Method,int
CRMPayments,Amount,money
CRMPayments,Rate,decimal
CRMPayments,Notes,nvarchar
CRMStages,Id,int
CRMStages,StatusId,int
CRMStages,Owner,nvarchar
CRMStatuses,Id,int
CRMStatuses,Title,nvarchar
Custodies,TenantId,int
Custodies,Id,int
Custodies,Code,nvarchar
Custodies,Description,nvarchar
Custodies,Status,int
Custodies,OtherStatus,nvarchar
Custodies,Value,int
Custodies,ItemId,int
Custodies,CustodyTypeId,int
Custodies,Available,bit
CustodyTypes,TenantId,int
CustodyTypes,Id,int
CustodyTypes,ArabicName,nvarchar
CustodyTypes,EnglishName,nvarchar
CustodyTypes,Category,int
CustodyTypes,OtherType,nvarchar
CustomFunctions,Id,int
CustomFunctions,EnglishName,nvarchar
CustomFunctions,ArabicName,nvarchar
CustomFunctions,Value,nvarchar
CustomFunctions,ArabicDescription,ntext
CustomFunctions,EnglishDescription,ntext
Defendants,TenantId,int
Defendants,Id,int
Defendants,InvestigationId,int
Defendants,EmployeeId,int
Delegations,TenantId,int
Delegations,Id,int
Delegations,EmployeeId,int
Delegations,DepartmentId,int
Delegations,JobTitleId,int
Delegations,StartDate,datetime
Delegations,EndDate,datetime
Delegations,ModifiedBy,nvarchar
Delegations,ModifiedDate,datetime
Delegations,ReplacedEmployeeId,int
Delegations,UserType,tinyint
DepartmentJobTitles,TenantId,int
DepartmentJobTitles,Id,int
DepartmentJobTitles,DepartmentId,int
DepartmentJobTitles,JobTitleId,int
DepartmentJobTitles,Number,int
DepartmentJobTitles,IsHead,bit
Departments,TenantId,int
Departments,Id,int
Departments,ArabicName,nvarchar
Departments,EnglishName,nvarchar
Departments,DepartmentTypeId,int
Departments,ParentId,int
Departments,IsHidden,bit
DepartmentTypes,TenantId,int
DepartmentTypes,Id,int
DepartmentTypes,ArabicName,nvarchar
DepartmentTypes,EnglishName,nvarchar
Districts,TenantId,int
Districts,Id,int
Districts,ArabicName,nvarchar
